TYPE,SENTENCE,ITEM
Object-Extraction,Who do you wanna lead to the mall [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the mall [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the shop [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the shop [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the amusement park [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the amusement park [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the aquarium [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the aquarium [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the theater [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the theater [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the basement [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the basement [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the toy store [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the toy store [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the bookstore [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the bookstore [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the bakery [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the bakery [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the terminal [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the terminal [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the coffee shop [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the coffee shop [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the market [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the market [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the gallery [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the gallery [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the shopping mall [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the shopping mall [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the post office [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the post office [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the clinic [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the clinic [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the gym [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the gym [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the pool [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the pool [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the party [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the party [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the show [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the show [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the festival [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the festival [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the audition [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the audition [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the competition [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the competition [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the race [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the race [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the contest [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the contest [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the match [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the match [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the wedding [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the wedding [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the ceremony [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the ceremony [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the rally [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the rally [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the seminar [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the seminar [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the conference [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the conference [MASK]?,tomorrow
Object-Extraction,Who do you wanna lead to the meeting [MASK]?,tomorrow
Subject-Extraction,Who do you wanna return to the meeting [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the meeting [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the meeting [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the lecture [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the lecture [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the show [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the show [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the contest [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the contest [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the ceremony [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the ceremony [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the conference [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the conference [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the race [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the race [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after school [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after school [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after breakfast [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after breakfast [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after lunch [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after lunch [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after dinner [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after dinner [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the class [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the class [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the interview [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the interview [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the game [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the game [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the wedding [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the wedding [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the exam [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the exam [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the rehearsal [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the rehearsal [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the performance [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the performance [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the audition [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the audition [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the festival [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the festival [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the workshop [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the workshop [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the appointment [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the appointment [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the parade [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the parade [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the match [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the match [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the event [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the event [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the test [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the test [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the discussion [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the discussion [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the session [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the session [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the musical [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the musical [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the concert [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the concert [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the party [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the party [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the trip [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the trip [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the break [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the break [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the tour [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the tour [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the speech [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the speech [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the announcement [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the announcement [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the briefing [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the briefing [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after camping [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after camping [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after dancing [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after dancing [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after swimming [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after swimming [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after biking [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after biking [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after skating [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after skating [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after hiking [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after hiking [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after work [MASK]? ,tomorrow
Subject-Extraction,Who do you wanna apologize after work [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after training [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after training [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the workout [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the workout [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after cleaning [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after cleaning [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the presentation [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the presentation [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the shift [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the shift [MASK]?,tomorrow
Object-Extraction,Who do you wanna congratulate after the debate [MASK]?,tomorrow
Subject-Extraction,Who do you wanna apologize after the debate [MASK]?,tomorrow
