TYPE,SENTENCE
Object-Extraction,Who do you wanna congratulate after the break tomorrow?
Subject-Extraction,Who do you wanna apologize after the break tomorrow?
Object-Extraction,Who do you wanna congratulate after the tour tomorrow?
Subject-Extraction,Who do you wanna apologize after the tour tomorrow?
Object-Extraction,Who do you wanna congratulate after the speech tomorrow?
Subject-Extraction,Who do you wanna apologize after the speech tomorrow?
Object-Extraction,Who do you wanna congratulate after the announcement tomorrow?
Subject-Extraction,Who do you wanna apologize after the announcement tomorrow?
Object-Extraction,Who do you wanna congratulate after the briefing tomorrow?
Subject-Extraction,Who do you wanna apologize after the briefing tomorrow?
Object-Extraction,Who do you wanna congratulate after camping tomorrow?
Subject-Extraction,Who do you wanna apologize after camping tomorrow?
Object-Extraction,Who do you wanna congratulate after dancing tomorrow?
Subject-Extraction,Who do you wanna apologize after dancing tomorrow?
Object-Extraction,Who do you wanna congratulate after swimming tomorrow?
Subject-Extraction,Who do you wanna apologize after swimming tomorrow?
Object-Extraction,Who do you wanna congratulate after biking tomorrow?
Subject-Extraction,Who do you wanna apologize after biking tomorrow?
Object-Extraction,Who do you wanna congratulate after skating tomorrow?
Subject-Extraction,Who do you wanna apologize after skating tomorrow?
Object-Extraction,Who do you wanna congratulate after hiking tomorrow?
Subject-Extraction,Who do you wanna apologize after hiking tomorrow?
Object-Extraction,Who do you wanna congratulate after work tomorrow? 
Subject-Extraction,Who do you wanna apologize after work tomorrow?
Object-Extraction,Who do you wanna congratulate after training tomorrow?
Subject-Extraction,Who do you wanna apologize after training tomorrow?
Object-Extraction,Who do you wanna congratulate after the workout tomorrow?
Subject-Extraction,Who do you wanna apologize after the workout tomorrow?
Object-Extraction,Who do you wanna congratulate after cleaning tomorrow?
Subject-Extraction,Who do you wanna apologize after cleaning tomorrow?
Object-Extraction,Who do you wanna congratulate after the presentation tomorrow?
Subject-Extraction,Who do you wanna apologize after the presentation tomorrow?
Object-Extraction,Who do you wanna congratulate after the shift tomorrow?
Subject-Extraction,Who do you wanna apologize after the shift tomorrow?
Object-Extraction,Who do you wanna congratulate after the debate tomorrow?
Subject-Extraction,Who do you wanna apologize after the debate tomorrow?
