TYPE,SENTENCE,ITEM
Object-Extraction,Who do you wanna see after the ceremony [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the ceremony [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the conference [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the conference [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the race [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the race [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after school [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after school [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after breakfast [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after breakfast [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after lunch [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after lunch [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after dinner [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after dinner [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the class [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the class [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the interview [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the interview [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the game [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the game [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the wedding [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the wedding [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the exam [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the exam [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the rehearsal [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the rehearsal [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the performance [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the performance [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the audition [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the audition [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the festival [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the festival [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the workshop [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the workshop [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the appointment [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the appointment [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the parade [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the parade [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the match [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the match [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the event [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the event [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the test [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the test [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the discussion [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the discussion [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the session [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the session [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the musical [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the musical [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the concert [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the concert [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the party [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the party [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the trip [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the trip [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the break [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the break [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the tour [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the tour [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the speech [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the speech [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the announcement [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the announcement [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the briefing [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the briefing [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after camping [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after camping [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after dancing [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after dancing [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after swimming [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after swimming [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after biking [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after biking [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after skating [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after skating [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after hiking [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after hiking [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after work [MASK]? ,tomorrow
Subject-Extraction,Who do you wanna come after work [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after training [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after training [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the workout [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the workout [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after cleaning [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after cleaning [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the presentation [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the presentation [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the shift [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the shift [MASK]?,tomorrow
Object-Extraction,Who do you wanna see after the debate [MASK]?,tomorrow
Subject-Extraction,Who do you wanna come after the debate [MASK]?,tomorrow
